Date,"Ukraine, WHOLESALE, National Average, Wheat (flour, highest grade, offer, EXW), UAH/Kg","Ukraine, WHOLESALE, National Average, Wheat (flour, first grade, offer, EXW), UAH/Kg","Ukraine, WHOLESALE, National Average, Wheat (3rd class, bid, EXW, processing), UAH/Kg","Ukraine, WHOLESALE, National Average, Wheat (flour, highest grade, offer, EXW), USD/Kg","Ukraine, WHOLESALE, National Average, Wheat (flour, first grade, offer, EXW), USD/Kg","Ukraine, WHOLESALE, National Average, Wheat (3rd class, bid, EXW, processing), USD/Kg","Ukraine, WHOLESALE, National Average, Wheat (flour, highest grade, offer, EXW), UAH-real/Kg","Ukraine, WHOLESALE, National Average, Wheat (flour, first grade, offer, EXW), UAH-real/Kg","Ukraine, WHOLESALE, National Average, Wheat (3rd class, bid, EXW, processing), UAH-real/Kg"
2021-02-01,11.85,11.5875,8.7375,0.42496,0.41555,0.3133399999999999,3.88285,3.79683,2.86298
2021-03-01,11.45,10.9375,7.95,0.41194,0.3935,0.28602,3.68906,3.52394,2.5614
2021-04-01,10.66,10.16,7.04,0.38167,0.36377,0.25206,3.4113,3.25129,2.25286
2021-05-01,10.4,9.9,7.4875,0.37677,0.35866,0.27126,3.3059000000000003,3.14696,2.38009
2021-06-01,10.375,9.95,6.8,0.38088,0.36527,0.24963,3.27491,3.14076,2.14645
2021-07-01,9.96,9.62,6.27,0.36598,0.35349,0.2303899999999999,3.12069,3.01416,1.96453
2021-08-01,10.325,10.0,7.4375,0.38548,0.37335,0.27768,3.20753,3.10657,2.3105100000000003
2021-09-01,10.95,10.65,7.9125,0.40969,0.39846,0.29604,3.36985,3.27753,2.43507
2021-10-01,11.23,10.9,8.32,0.42579,0.41328,0.31545,3.42233,3.3217600000000003,2.5355100000000004
2021-11-01,11.7125,11.3625,8.65,0.44288,0.42965,0.32708,3.59,3.48272,2.65131
2021-12-01,12.3,11.9,8.67,0.45198,0.4372799999999999,0.31859,3.74861,3.6267,2.64231
2022-01-01,12.425,12.025,8.775,0.44405,0.42975,0.3136,3.73707,3.61676,2.63926
2022-02-01,12.63333,12.23333,8.51667,0.44468,0.4306,0.29978,3.74019,3.62177,2.52142
2022-03-01,12.82,12.4,8.35,0.43829,0.42393,0.28547,3.63252,3.51352,2.36596
2022-04-01,13.35,12.95,7.55,0.45641,0.44274,0.25812,3.66836,3.55845,2.07462
2022-05-01,12.26,11.92,6.51,0.41908,0.40745,0.22253,3.28091,3.18992,1.74215
2022-06-01,11.74,11.7,6.0,0.4013,0.39993,0.20509,3.04698,3.0366,1.55723
2022-07-01,11.35,11.05,4.85,0.35636,0.3469399999999999,0.15228,2.92526,2.84794,1.25
2022-08-01,10.28,10.0,5.4,0.2811,0.2734499999999999,0.1476599999999999,2.6207800000000003,2.54939,1.37667
2022-09-01,10.475,10.175,5.9,0.28644,0.27823,0.16133,2.62058,2.5455300000000003,1.47603
2022-10-01,10.725,10.425,6.225,0.29328,0.28508,0.17023,2.6178600000000003,2.54464,1.51946
2022-11-01,11.06,10.74,6.26,0.30245,0.29369,0.17119,2.68062,2.60306,1.51724
2022-12-01,11.55,11.25,6.425,0.3158399999999999,0.3076399999999999,0.1757,2.77981,2.7076,1.5463399999999998
2023-01-01,11.78,11.48,6.66,0.3221299999999999,0.31393,0.18212,2.81268,2.74105,1.59019
2023-02-01,11.875,11.55,6.725,0.32473,0.3158399999999999,0.1839,2.81583,2.73877,1.59465
2023-03-01,11.525,11.15,6.575,0.31516,0.30491,0.1798,2.69243,2.60482,1.53603
2023-04-01,11.05,10.775,6.35,0.30217,0.2946499999999999,0.17365,2.57646,2.51234,1.48059
2023-05-01,10.88,10.58,5.92,0.29752,0.2893199999999999,0.1618899999999999,2.524,2.4544,1.3733499999999998
2023-06-01,10.25,9.9,5.7,0.2803,0.27072,0.15587,2.3591100000000003,2.27855,1.31189
2023-07-01,10.0,9.7,5.675,0.27346,0.26525,0.15519,2.31539,2.24593,1.31399
2023-08-01,9.82,9.52,5.76,0.26854,0.26033,0.1575099999999999,2.30585,2.23541,1.35251
2023-09-01,10.6,10.125,5.9,0.28987,0.27688,0.16134,2.47693,2.36594,1.37867
2023-10-01,10.6,10.2,5.9,0.29026,0.27931,0.16156,2.45727,2.36454,1.36773
2023-11-01,10.8,10.3,5.925,0.29871,0.28488,0.16388,2.49105,2.37572,1.36662
2023-12-01,10.925,10.375,6.175,0.29452,0.2797,0.16647,2.50251,2.3765300000000003,1.41446
2024-01-01,11.08,10.4,6.34,0.2925899999999999,0.27463,0.1674199999999999,2.5278,2.37266,1.44641
2024-02-01,11.05,10.25,6.425,0.291,0.26993,0.1692,2.51322,2.33127,1.46131
2024-03-01,10.75,9.85,6.55,0.27804,0.25476,0.16941,2.43293,2.22924,1.48239
2024-04-01,10.78,9.96,6.6,0.27388,0.25305,0.16768,2.43514,2.24991,1.4909
2024-05-01,11.175,10.5,7.35,0.28141,0.26442,0.18509,2.50908,2.35753,1.65027
2024-06-01,13.2,12.1,8.325,0.32611,0.29893,0.20567,2.90023,2.65854,1.82912
2024-07-01,13.9,13.18,8.36,0.33911,0.32154,0.20395,3.05403,2.89583,1.83681
2024-08-01,14.2,13.5,8.75,0.34475,0.32775,0.21243,3.10085,2.94799,1.91074
2024-09-01,14.5,13.7,8.75,0.35154,0.33214,0.2121299999999999,3.11971,2.94759,1.88258
2024-10-01,14.8,13.9,9.5,0.35885,0.33703,0.23035,3.12769,2.93749,2.0076400000000003
2024-11-01,14.9,14.2,9.475,0.36034,0.34341,0.2291399999999999,3.09054,2.9453400000000003,1.96529
2024-12-01,15.0,14.5,9.6,0.3592599999999999,0.34729,0.22993,3.06835,2.96607,1.96374
2025-01-01,15.075,14.525,9.75,0.358,0.34494,0.23154,3.04683,2.93567,1.97059
2025-02-01,15.3,14.6,10.1,0.36737,0.35056,0.24251,3.06124,2.92119,2.02082
2025-03-01,15.3,14.6,10.33333,,,,,,
